title;name;Commentaire (Contenu);Commentaires (Professeur);Contenu;Pédagogie;points
Managing IT in the Digital Age;Jan Ondrus;Cours clair et structuré, intéressant;Prof suisse donc ne tolère aucun retard;7;7;41
Management de l'IT à l'ère numérique;Nicolas Prat;Cours sans intérêt, mais fondamental. No comment;Agréable, note gentiment au final (tout le monde a validé) mais semble parfois un peu sournois. ;5;5;
Managing Plans and Projects;Stefan Linder;Cours très pipo mais pas difficile a valider. Dans la ligné d'un cours de OB ou management control. Indispensable a la filiere CFO;Sympa mais s'eloigne du sujet assez rapidement et passe bcp de temps sur des sujets pas interessants. / Mais vraiment tres gentil et a l'ecoute des etudiants;4;7;23
Organization Theory & Behaviour;Anca Metiu;"Cours détente. On écoute le bullshit de la prof qui met ses slides en ligne une fois la journée terminée. Pensez à noter les ""concepts"" pour votre essai personnel et l'exam du vendredi aprèm... / Test MBTI, jeu de survie dans le désert...ça fait vraiment séminaire bullshit";Gentille mais soporifique avec ses pseudo expériences psychologiques / Mais pas clair dans ses critères de notations des essais perso;4;6;
Management de l'IT à l'ère numérique;Nicolas Prat;Cours plutôt intéressant, traitant de problématiques dans l'ère du temps. Donne des bases nécessaires pour tout métier. ;"Prat, à part sa voix qui est la même que Patrick Timsit n'a pas franchement d'intérêt. Il n'apporte pas vraiment de plus à ce cours qui pourrait être beaucoup plus intéressant sans le rendre trop ""techos"". Cas de groupe à rendre après la semaine bloquée. Examen écrit assez vicieux sur le cours et les articles à lire. Note très facilement les dossiers et les notes orales. Se valide Facilementreprise";6;2;42
Management de l'IT à l'ère numérique;Nicolas Prat;Cours obligatoire... Pas passionnant, mais ça passe.;Professeur dynamique, mais exigeant (cas à faire tous les soirs, à présenter en groupe, quiz final assez dur, mémoire à rendre quelques semaines après). Notation finale assez souple, tout le monde valide assez facilementreprise;6;6;63
Organization Theory & Behaviour;Anca Metiu;Pratique si vous voulez vous débarrasser de ce fonda. Semaine plutôt agréable avec Anca Metiu qui a de la personnalité et qui fait des efforts pour ne pas rendre le cours trop ennuyant. Travail avec un groupe non choisi sur plusieurs exercices au cours de la semaine et un cas à rendre en temps limité avec le même groupe en guise de quinze final (tous documents autorisés). Il vous sera demandé de lire un texte du fascicule par soir. Le contenu du cours est un peu pipeau mais la prof rend le cours interactif. Il y a beaucoup d'ASTi, et plein de gens qui ont des choses intéressantes à raconter au sujet de leurs expériences pro. ;Anca Metiu est autoritaire mais elle a aussi de l'humour et elle peut être sympathique. Bagage intéressant, malheureusement pas trop mis en valeur par le format du cours. Elle n'accepte pas les retardataires et fait l'appel à chaque séance. ;7;8;
Organization Theory & Behaviour;Anca Metiu;En semaine bloqué, intéressant. On travaille sur les relations qui se forment au sein même du cours, et comme beaucoup d'étudiants sont étrangers (t1, cours en anglais, semaine bloquée), il y a plus de participation, de spontanéité et d'échanges. C'est sans doute la meilleure recette pour cette étape obligatoire.;Elle fait sa méchante mais en fait elle est sympathique.  / Il faut arriver à l'heure mais elle n'est pas stupide non plus, si le rer fait des siennes, elle comprend.;8;8;
Atelier de négociation;Aurélien Colson;Cours sympa, ludique et intéressant!;Prof génial qui a des tonnes d'anecdotes qui rendent le cours vraiment intéressant. ;9;10;140
International Strategy & Management;Kazuhiro Asakawa;Useless.  / Some good insights from different industries thanks to professor's experience;Good professor, but the course is like attending a reading class.;5;7;22
Managing IT in the Digital Age;Jan Ondrus;A part quelques sessions, contenu pas terrible et peu pratique (bref un fonda...). Facile à valider en semaine bloquée sans beaucoup de travail;Il a vraiment essayé de rendre le cours intéressant pendant la semaine, ;4;8;40
Managing IT in the Digital Age;Jan Ondrus;Très bien, professeur intéressant et contenu du cours ludique ! Top pour une semaine bloquée  / ;L'évaluation : un exposé en groupe + un partiel final ;8;9;36
Publicité;Philippe Cohen;Cours intéressant pour découvrir ce à quoi peut ressembler une carrière en agence de pub. Un bon poly pour ceux qui veulent approfondir les concepts théoriques. Cours qui ne demande pas trop de travail, relativement intéressant et facile à valider.;Professeur un peu fou, ses cours sont vivant, il est assez déstabilisant et peut parfois être sanguin mais sympa dans l'ensemble.;8;8;35
Negotiation Workshop;Marwan Sinaceur;Un cours où on applique les théories subjectives du prof, mais qui ont été vérifiées par lui et ses expériences impressionnantes et drôles. L'illustration des concepts est très bien faite. ;Très bonne pédagogie avec moitié du cours qui correspond à la présentation des concepts et théories et une seconde moitié dédiée à l'application de ces concepts à travers des ateliers permettant de développer la maîtrise de la négociation. ;7;8;
Publicité;Philippe Cohen;Bon cours où on apprend pas mal de notions de Publicité et qui permet de bien comprendre le processus de conceptualisation et de création.;Professeur drôle qui connait le monde de la Pub et qui présente de façon claire. Une pub à rendre sous forme de script en prenant en compte en amont les différentes explications.;9;8;51
Publicité;Philippe Cohen;Cours franchement intéressant même si l'on est pas passionné par le sujet, passe très bien en semaine bloqué pour valider un électif détente.;Ancien d'agence de pub complètement speed, on peut ne pas accrocher à l'humour mais au moins le cours est vivant !;9;9;
Organization Theory & Behaviour;Anca Metiu;"Pas Mal, Pourrait être plus intéressant si plus de temps. A prendre pour ceux qui veulent s""en debarrasser";Malgré son air rigide la prof est sympa. Note large;6;6;30
Managing Plans and Projects;Stefan Linder;cours très abstrait, on en retire peu de choses...Le prof est à fond mais à un niveau trop intellectuel et éloigné du réel. Des lectures et des cas en proportion assez conséquente à faire tous les soirs, beaucoup de boulot. Pas d'exam final. Des risques de mini quiz. Note très bien.;;6;7;35
Organization Theory & Behaviour;Anca Metiu;Approche généraliste de différents concepts.;Professeur strict en début de semaine qui se détend peu à peu. Elle sait alterner les supports de cours (cas, cours, simulation...) et susciter la participation des élèves. Constitution d'un groupe de 5 élèves pour toute la semaine, ce qui permet de faire connaissance avec de nouvelles personnes. ;8;8;0
Management de l'IT à l'ère numérique;Nicolas Prat;Bon cours, l'utilisation des SI est vraiment stratégique. 2 intervenants très bons. Un peu trop de concepts et blabla.;Trop théorique, bon pédagogue mais il lui manque une expérience professionnel dans le secteur pour être vraiment pertinent;6;4;23
Atelier de négociation;Aurélien Colson;Cours très enrichissant. Il s'agit d'apprendre à mieux appréhender une négociation, et toujours optimiser les décisions communes. / Très instructif. / Ateliers pratiques en face à face avec d'autres étudiants, et debriefs avec la classe entière ensuite.;Super prof ! Interessant, intéressé, et très impliqué pour ses élèves. Genial. / Note finale avec un devoir maison à rendre à la fin du cours.;10;10;25
Atelier de négociation;Aurélien Colson;Excellent cours, beaucoup d'interactions, des cas intéressants, une bonne ambiance globale;"Très bon professeur, pédagogue, intéressant; se valide tranquillement (un devoir maison à rendre une semaine plus tard où il faut écrire ce qu'on a retenu)";9;9;10
International Strategy & Management;Kazuhiro Asakawa;the course is focus on the strategy and development of multinational and global companies. / Cases are necessary. / Final exam is written but open.;Japanese prof, very fluent English, funny, interactive, didn't give too high grades.;7;5;35
Managing IT in the Digital Age;Jan Ondrus;Les concepts du cours sont peu captivants;Très sympa. Détente. Arrive à rendre son cours intéressant et ce n'est pas rien.  ;4;8;40
Entrepreneuriat;Fabrice Cavarretta;Pas de vrai apport conceptuel si ce n'est qu'il faut être lean...;Cavarretta est cool et très impliqué;7;7;
Organization Theory & Behaviour;Anca Metiu;;Very German style teacher, requires everyone to be on time. She tried to make joke but....;5;6;45
Managing Plans and Projects;Stefan Linder;Cours décevant car n'apporte pas grand chose. 27 présentations faites par des élèves pendant la semaine... ;Professeur plutôt sympa.  / La note prend en compte ces présentations et la participation. Nous avons eu un mini-quiz surprise sur des lectures à faire en dehors du cours mais les résultats étaient trop mauvais donc pas pris en compte dans la note finale.;3;6;50
Managing IT in the Digital Age;Jan Ondrus;The course is kind of interesting with many real cases;The score is way below my expectation;9;7;35
Stratégie et management;Raymond-Alain Thietart;Très bien.;Professeur très sympa, détente, intéressant. Notation sur un cas final de groupe à faire durant la dernière séance du cours le vendredi après-midi. Envoie un mail moins d'une semaine après avec un commentaire et la note. Rien à redire.;10;10;36
